PeakID (cmd=annotatePeaks.pl no_peptide_1um_pcc_superenhancers_merged.txt mm10)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
Merged-chr10-75317032-2	chr10	75259674	75365788	+	1003.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	TTS (NM_001145826)	TTS (NM_001145826)	-4146	NM_009630	11540	Mm.333734	NM_009630	ENSMUSG00000020178	Adora2a	A2AAR|A2aR|AA2AR	adenosine A2a receptor	protein-coding
Merged-chr10-19982403-2	chr10	19933572	20041246	+	1003.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_008580, intron 1 of 29)	B4|SINE|B4	52883	NM_008580	26408	Mm.6595	NM_008580	ENSMUSG00000071369	Map3k5	7420452D20Rik|ASK|ASK1|MAPKKK5|Mekk5	mitogen-activated protein kinase kinase kinase 5	protein-coding
Merged-chr2-75736123-1	chr2	75679272	75792975	+	1003.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-31482	NM_010902	18024	Mm.1025	NM_010902	ENSMUSG00000015839	Nfe2l2	AI194320|Nrf2	nuclear factor, erythroid derived 2, like 2	protein-coding
Merged-chr12-80833204-1	chr12	80771068	80895341	+	1001.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_178682, intron 2 of 5)	intron (NM_178682, intron 2 of 5)	42672	NM_001242419	217684	Mm.341776	NM_178682	ENSMUSG00000021133	4933426M11Rik	mKIAA0247	RIKEN cDNA 4933426M11 gene	protein-coding
Merged-chr11-43393376-1	chr11	43351516	43435236	+	1001.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-18915	NR_029558	387164		NR_029558	miRBase:MI0000170	Mir146	Mirn146|miR-146a|mmu-mir-146	microRNA 146	ncRNA
Merged-chr4-129548611-2	chr4	129495691	129587809	+	1001.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_008228, intron 1 of 13)	PB1D10|SINE|Alu	896	NM_008228	433759	Mm.202504	NM_008228	ENSMUSG00000028800	Hdac1	HD1|Hdac1-ps|MommeD5|RPD3	histone deacetylase 1	protein-coding
Merged-chr10-99218656-2	chr10	99165516	99270327	+	1000.949951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-45310	NM_026268	67603	Mm.1791	NM_026268	ENSMUSG00000019960	Dusp6	1300019I03Rik|MKP-3|MKP3|PYST1	dual specificity phosphatase 6	protein-coding
Merged-chr6-128827899-1	chr6	128782875	128872924	+	1000.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-1584	NM_030599	80782	Mm.6180	NM_030599	ENSMUSG00000079298	Klrb1b	Klrb1d|Ly55b|Ly55d|NKR-P1B|NKR-P1D|Nkrp1-b|Nkrp1d	killer cell lectin-like receptor subfamily B member 1B	protein-coding
Merged-chr3-52854501-2	chr3	52785569	52907785	+	999.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	MTA_Mm-int|LTR|ERVL-MaLR	80989	NR_040555	622124	Mm.389434	NR_040555		Gm20750	-	predicted gene, 20750	ncRNA
Merged-chr7-101092364-2	chr7	101041310	101143228	+	999.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	B1_Mus1|SINE|Alu	-16506	NM_001146010	207278	Mm.263041	NM_199012	ENSMUSG00000030691	Fchsd2	BC034086|R74866|Sh3md3|mKIAA0769	FCH and double SH3 domains 2	protein-coding
Merged-chr3-115965865-1	chr3	115923142	116008588	+	998.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_023214, intron 8 of 10)	MIRb|SINE|MIR	41541	NM_023214	66500	Mm.34550	NM_023214	ENSMUSG00000054414	Slc30a7	1810059J10Rik|2610034N15Rik|4833428C12Rik|AI467242|ZnT-7|ZnT7|Zntl2	solute carrier family 30 (zinc transporter), member 7	protein-coding
Merged-chr5-120664759-1	chr5	120612434	120717085	+	997.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	exon (NM_013832, exon 13 of 22)	exon (NM_013832, exon 13 of 22)	15571	NM_001281999	19415	Mm.41209	NM_013832	ENSMUSG00000029602	Rasal1	MRASAL	RAS protein activator like 1 (GAP1 like)	protein-coding
Merged-chr2-174612407-2	chr2	174555569	174655725	+	996.449951	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-37887	NM_001099328	100043757	Mm.48711	NM_001099328	ENSMUSG00000050600	Zfp831	ENSMUSG00000050600|OTTMUSG00000017459	zinc finger protein 831	protein-coding
Merged-chr8-69956552-2	chr8	69888063	70012565	+	995.950012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001286450, intron 2 of 12)	intron (NM_001286450, intron 2 of 12)	24069	NM_001113346	234366	Mm.270044	NM_145596	ENSMUSG00000036180	Gatad2a	1110066C11Rik|BC031407|C80248	GATA zinc finger domain containing 2A	protein-coding
Merged-chr11-61669625-1	chr11	61638463	61700788	+	995.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_027817, intron 3 of 4)	intron (NM_027817, intron 3 of 4)	-14785	NM_178618	69640	Mm.458559	NM_178618	ENSMUSG00000042377	Fam83g	2310040C09Rik|AI506990|wly	family with sequence similarity 83, member G	protein-coding
Merged-chr3-89890150-2	chr3	89858891	89923945	+	995.750000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_010559, intron 1 of 9)	intron (NM_010559, intron 1 of 9)	21744	NM_010559	16194	Mm.2856	NM_010559	ENSMUSG00000027947	Il6ra	CD126|IL-6R|Il6r	interleukin 6 receptor, alpha	protein-coding
Merged-chr9-44020710-2	chr9	43973883	44054652	+	994.300049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-29117	NM_009382	21838	Mm.3951	NM_009382	ENSMUSG00000032011	Thy1	CD90|T25|Thy-1|Thy-1.2|Thy1.1|Thy1.2	thymus cell antigen 1, theta	protein-coding
Merged-chr8-34191442-1	chr8	34139957	34242927	+	994.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	ORR1C1|LTR|ERVL-MaLR	-24730	NR_105820	102465211		NR_105820	miRBase:MI0021930	Mir6395	mmu-mir-6395	microRNA mir-6395	ncRNA
Merged-chr3-68987773-1	chr3	68929874	69045672	+	993.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_026641, intron 4 of 19)	intron (NM_026641, intron 4 of 19)	16797	NM_026641	68259	Mm.389451	NM_026641	ENSMUSG00000027778	Ift80	4921524P20Rik|Wdr56|mKIAA1374	intraflagellar transport 80	protein-coding
Merged-chr2-151561482-1	chr2	151526669	151596296	+	992.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	3' UTR (NM_008019, exon 5 of 5)	3' UTR (NM_008019, exon 5 of 5)	-11141	NM_145535	228765	Mm.32068	NM_145535	ENSMUSG00000027456	Sdcbp2	-	syndecan binding protein (syntenin) 2	protein-coding
Merged-chr13-46745744-1	chr13	46689902	46801587	+	990.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-17895	NM_175749	218210	Mm.255398	NM_175749	ENSMUSG00000021374	Nup153	B130015D15Rik|C88147	nucleoporin 153	protein-coding
Merged-chr19-9937777-2	chr19	9874058	10000669	+	989.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	RMER12|LTR|ERVK	-37830	NM_016692	16319	Mm.29755	NM_016692	ENSMUSG00000024660	Incenp	2700067E22Rik|AU019509|C130081E20|C77457	inner centromere protein	protein-coding
Merged-chr8-25098370-2	chr8	25047960	25149484	+	987.549988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_031257, intron 1 of 11)	intron (NM_031257, intron 1 of 11)	3089	NM_031257	83436	Mm.261122	NM_031257	ENSMUSG00000031557	Plekha2	6430512N22Rik|AI851530|AU041791|TAPP2|W91773	pleckstrin homology domain-containing, family A (phosphoinositide binding specific) member 2	protein-coding
Merged-chr1-36914502-1	chr1	36861995	36967010	+	985.500000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_018872, intron 1 of 40)	intron (NM_018872, intron 1 of 40)	25025	NM_018872	56030	Mm.186943	NM_018872	ENSMUSG00000026116	Tmem131	2610524E03Rik|CC28|D1Bwg0491e|Neg|RW1|YR-23|mKIAA0257	transmembrane protein 131	protein-coding
Merged-chr5-73246196-2	chr5	73180955	73301827	+	984.250000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_028194, intron 1 of 62)	intron (NM_028194, intron 1 of 62)	15227	NM_028194	72313	Mm.260594	NM_028194	ENSMUSG00000070733	Fryl	2010313D22Rik|2310004H21Rik|2510002A14Rik|9030227G01Rik|mKIAA0826	furry homolog-like (Drosophila)	protein-coding
Merged-chr4-133844648-2	chr4	133774858	133911444	+	982.750000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	31580	NM_001285506	20111	Mm.301827	NM_009097	ENSMUSG00000003644	Rps6ka1	Mapkapk-1a|Rsk|Rsk-1|Rsk1|S6K-alpha-1|p90-Rsk1|p90Rsk1|p90S6K|p90rsk	ribosomal protein S6 kinase polypeptide 1	protein-coding
Merged-chr5-124210117-2	chr5	124150002	124277302	+	982.750000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_011256, intron 2 of 24)	intron (NM_011256, intron 2 of 24)	-16073	NR_045369	75927	Mm.410803	NR_045369	ENSMUSG00000090220	Pitpnm2os1	4930568K20Rik	phosphatidylinositol transfer protein, membrane-associated 2, opposite strand 1	ncRNA
Merged-chr18-39042222-2	chr18	38992350	39094891	+	982.349976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_175164, intron 1 of 22)	intron (NM_175164, intron 1 of 22)	50475	NM_175164	71302	Mm.329396	NM_175164	ENSMUSG00000036452	Arhgap26	1810044B20Rik|2610010G17Rik|4933432P15Rik|AI853435|mKIAA0621	Rho GTPase activating protein 26	protein-coding
Merged-chr17-28237864-2	chr17	28169919	28315701	+	980.950012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_011145, intron 2 of 7)	intron (NM_011145, intron 2 of 7)	10056	NM_011145	19015	Mm.328914	NM_011145	ENSMUSG00000002250	Ppard	NUC-1|NUC1|Nr1c2|PPAR-beta|PPAR-delta|PPAR[b]|PPARdelta|Pparb|Pparb/d	peroxisome proliferator activator receptor delta	protein-coding
Merged-chr15-57766929-1	chr15	57692838	57841021	+	979.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_199449, intron 2 of 3)	intron (NM_199449, intron 2 of 3)	72262	NM_199449	387609	Mm.36557	NM_199449	ENSMUSG00000071757	Zhx2	Afr-1|Afr1|Raf|mKIAA0854	zinc fingers and homeoboxes 2	protein-coding
Merged-chr12-76346197-1	chr12	76306921	76385473	+	976.599976	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	21306	NM_001101471	238276	Mm.311452	NM_001101471	ENSMUSG00000021057	Akap5	3526401B18Rik|AKAP 150|AKAP-5|AKAP150|BB098886|Gm258|P150	A kinase (PRKA) anchor protein 5	protein-coding
Merged-chr8-116636749-2	chr8	116581018	116694295	+	976.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_029441, intron 1 of 6)	MER58A|DNA|hAT-Charlie	95335	NM_029441	75796	Mm.159575	NM_029441	ENSMUSG00000031758	Cdyl2	1700029M19Rik|4930453I21Rik|Gm20194	chromodomain protein, Y chromosome-like 2	protein-coding
Merged-chr11-75226689-2	chr11	75152577	75296925	+	975.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_177708, intron 1 of 1)	B2_Mm2|SINE|B2	30758	NM_177708	237847	Mm.82661	NM_177708	ENSMUSG00000045287	Rtn4rl1	Ngr3|Ngrh2|Ngrl2	reticulon 4 receptor-like 1	protein-coding
Merged-chr6-117896200-2	chr6	117862872	117938010	+	974.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	5' UTR (NM_001166432, exon 1 of 4)	5' UTR (NM_001166432, exon 1 of 4)	101	NM_001166432	98758	Mm.422979	NM_133834	ENSMUSG00000042079	Hnrnpf	4833420I20Rik|AA407306|Hnrpf	heterogeneous nuclear ribonucleoprotein F	protein-coding
Merged-chr13-44499899-1	chr13	44441542	44558257	+	971.700012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	60172	NR_045489	69491	Mm.392410	NR_045489	ENSMUSG00000098144	1700029N11Rik	-	RIKEN cDNA 1700029N11 gene	ncRNA
Merged-chr2-62399405-1	chr2	62335257	62463553	+	971.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_001159543, intron 2 of 24)	intron (NM_001159543, intron 2 of 24)	12826	NM_001159543	13482	Mm.1151	NM_010074	ENSMUSG00000035000	Dpp4	Cd26|Dpp-4|THAM	dipeptidylpeptidase 4	protein-coding
Merged-chr6-54102227-2	chr6	54031697	54172675	+	969.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001163640, intron 1 of 12)	B2_Mm2|SINE|B2	62254	NM_001163640	69993	Mm.321147	NM_023543	ENSMUSG00000004633	Chn2	1700026N20Rik|4930557O16Rik|ARHGAP3|Bch	chimerin 2	protein-coding
Merged-chr9-46173037-1	chr9	46142648	46203427	+	969.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_027498, intron 4 of 24)	B4A|SINE|B4	-55593	NM_009692	11806	Mm.26743	NM_009692	ENSMUSG00000032083	Apoa1	Alp-1|Apoa-1|Brp-14|Ltw-1|Lvtw-1|Sep-1|Sep-2|Sep2|apo-AI|apoA-I	apolipoprotein A-I	protein-coding
Merged-chr4-123542159-2	chr4	123497374	123589515	+	968.250000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001199136, intron 3 of 97)	B1_Mus2|SINE|Alu	-72976	NR_105824	102465214		NR_105824	miRBase:MI0021934	Mir6398	mmu-mir-6398	microRNA mir-6398	ncRNA
Merged-chr14-31404927-2	chr14	31357203	31443172	+	968.049988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_011894, intron 3 of 8)	intron (NM_011894, intron 3 of 8)	35846	NM_011894	24056	Mm.383198	NM_011894	ENSMUSG00000021892	Sh3bp5	AI606498|SH3BP-5|Sab	SH3-domain binding protein 5 (BTK-associated)	protein-coding
Merged-chr7-141043760-2	chr7	140982075	141110068	+	968.000000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-15203	NM_177897	330671	Mm.133741	NM_177897	ENSMUSG00000055629	B4galnt4	BC038881|Gm1095|beta4GalNAcT4	beta-1,4-N-acetyl-galactosaminyl transferase 4	protein-coding
Merged-chr6-91073079-1	chr6	91015459	91130699	+	966.799988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_018815, intron 10 of 39)	intron (NM_018815, intron 10 of 39)	43747	NM_018815	54563	Mm.28162	NM_018815	ENSMUSG00000030091	Nup210	9830001L10|AI836801|Pom210|gp190|gp210	nucleoporin 210	protein-coding
Merged-chr8-86870813-1	chr8	86838028	86903598	+	964.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_030563, intron 1 of 6)	intron (NM_030563, intron 1 of 6)	14445	NM_030563	80750	Mm.25117	NM_030563	ENSMUSG00000031652	N4bp1	AI481586|C81621	NEDD4 binding protein 1	protein-coding
Merged-chr12-69244417-1	chr12	69183316	69305519	+	963.900024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_178253, intron 1 of 12)	intron (NM_178253, intron 1 of 12)	2585	NM_178253	271005	Mm.180969	NM_178253		Klhdc1	-	kelch domain containing 1	protein-coding
Merged-chr3-89415500-1	chr3	89368249	89462752	+	963.099976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	TTS (NM_016904)	TTS (NM_016904)	2791	NM_016904	54124	Mm.3049	NM_016904	ENSMUSG00000028044	Cks1b	2410005G18Rik|2610005D03Rik|AA407784|Cks1|sid1334	CDC28 protein kinase 1b	protein-coding
Merged-chr13-44780533-2	chr13	44711803	44852127	+	960.800049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001205043, intron 1 of 17)	intron (NM_001205043, intron 1 of 17)	50694	NM_001205043	16468	Mm.25059	NM_021878	ENSMUSG00000038518	Jarid2	Jmj|jumonji	jumonji, AT rich interactive domain 2	protein-coding
Merged-chr17-87329300-2	chr17	87281823	87376773	+	960.599976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_028639, intron 8 of 19)	intron (NM_028639, intron 8 of 19)	46412	NM_028639	225049	Mm.77396	NM_028639	ENSMUSG00000036918	Ttc7	1110035E02Rik|1700007L07Rik|Ttc7a|fsn|hea	tetratricopeptide repeat domain 7	protein-coding
Merged-chr6-30301359-1	chr6	30246792	30355926	+	959.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_001169576, intron 1 of 4)	intron (NM_001169576, intron 1 of 4)	3180	NM_009459	22214	Mm.332967	NM_009459	ENSMUSG00000039159	Ube2h	1500009C23Rik|AI181839|AI326965|AI462483|AW227540|E2-20K|Gid3|N28148|Ubc8	ubiquitin-conjugating enzyme E2H	protein-coding
Merged-chr4-106966222-1	chr4	106907849	107024596	+	958.200012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_198438, intron 4 of 16)	B1_Mur2|SINE|Alu	54752	NM_023672	72475	Mm.195635	NM_023672	ENSMUSG00000061887	Ssbp3	2610021L12Rik|2610200M23Rik|5730488C10Rik|AI854733|AW551939|LAST|SSDP1	single-stranded DNA binding protein 3	protein-coding
Merged-chr9-73065373-1	chr9	73038843	73091903	+	956.900024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001301232, intron 1 of 5)	B3A|SINE|B2	1225	NM_001301232	11891	Mm.34867	NM_023635	ENSMUSG00000032202	Rab27a	2210402C08Rik|2410003M20Rik|4933437C11Rik|ash	RAB27A, member RAS oncogene family	protein-coding
Merged-chr5-142917201-2	chr5	142877273	142975081	+	956.400024	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	PB1D10|SINE|Alu	-19453	NM_007393	11461	Mm.328431	NM_007393	ENSMUSG00000029580	Actb	Actx|E430023M04Rik|beta-actin	actin, beta	protein-coding
Merged-chr8-106033792-1	chr8	105983307	106084278	+	956.200012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	intron (NM_025518, intron 6 of 15)	intron (NM_025518, intron 6 of 15)	-22306	NM_028038	71986	Mm.307515	NM_028038	ENSMUSG00000045538	Ddx28	2410004K13Rik|AI449652|Mddx28	DEAD (Asp-Glu-Ala-Asp) box polypeptide 28	protein-coding
Merged-chr16-51686196-1	chr16	51650400	51721992	+	953.000000	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	-345353	NM_001033238	208650	Mm.328206	NM_001033238	ENSMUSG00000022637	Cblb	AI429560|AI851073|Cbl-b	Casitas B-lineage lymphoma b	protein-coding
Merged-chr2-172403324-2	chr2	172359939	172442032	+	952.549988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_001276422, intron 1 of 5)	(GAGAA)n|Simple_repeat|Simple_repeat	7191	NM_001276422	320664	Mm.210195	NM_001033538	ENSMUSG00000074570	Cass4	F730031O20Rik	Cas scaffolding protein family member 4	protein-coding
Merged-chr3-107069015-2	chr3	107029516	107111145	+	951.849976	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	Intergenic	30826	NR_033498	229694	Mm.347584	NM_173787	ENSMUSG00000056145	AI504432	A230102G19	expressed sequence AI504432	ncRNA
Merged-chr3-106805205-2	chr3	106768861	106844929	+	951.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	Intergenic	L1_Mus1|LINE|L1	15662	NM_146489	258482	Mm.377527	NM_146489	ENSMUSG00000043529	Olfr266	MOR122-2	olfactory receptor 266	protein-coding
Merged-chr2-60827808-2	chr2	60737356	60889095	+	950.299988	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_020296, intron 2 of 13)	intron (NM_020296, intron 2 of 13)	68213	NM_001141932	56878	Mm.259667	NM_020296	ENSMUSG00000026970	Rbms1	2600014B10Rik|AI255215|MSSP-1|MSSP-2|MSSP-3|YC1	RNA binding motif, single stranded interacting protein 1	protein-coding
Merged-chr16-78552090-2	chr16	78476339	78606698	+	946.550049	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt|AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	3' UTR (NM_025967, exon 5 of 5)	3' UTR (NM_025967, exon 5 of 5)	-18798	NR_040569	75818	Mm.410817	NR_040569		4930478L05Rik	-	RIKEN cDNA 4930478L05 gene	ncRNA
Merged-chr6-41160451-1	chr6	41084910	41235993	+	946.500000	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	L2a|LINE|L2	-124942	NM_023333	67373	Mm.153729	NM_023333	ENSMUSG00000029882	2210010C04Rik	AV072249	RIKEN cDNA 2210010C04 gene	protein-coding
Merged-chr1-58721354-1	chr1	58697617	58745092	+	944.700012	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_207653, intron 1 of 9)	L1MA9|LINE|L1	8068	NM_207653	12633	Mm.336848	NM_009805	ENSMUSG00000026031	Cflar	2310024N18Rik|A430105C05Rik|CLARP|Cash|Casper|ENSMUSG00000072980|FLAME|FLAME-1|Flip|Gm9845|I-FLICE|MRIT|c-Flip	CASP8 and FADD-like apoptosis regulator	protein-coding
Merged-chr3-88134658-1	chr3	88090802	88178514	+	944.700012	AND-CD4TCell-H3K27Ac-No-Peptide-24h-MNase-Combined_superenhancers.txt	Intergenic	ORR1D1|LTR|ERVL-MaLR	-7737	NM_133665	17261	Mm.28184	NM_133665	ENSMUSG00000001419	Mef2d	C80750	myocyte enhancer factor 2D	protein-coding
Merged-chr10-98933551-1	chr10	98875389	98991714	+	944.400024	AND-CD4TCell-H3K27Ac-1uM-PCC-24h-MNase-Combined_superenhancers.txt	intron (NM_026482, intron 1 of 20)	intron (NM_026482, intron 1 of 20)	18399	NM_026482	67972	Mm.166944	NM_026482	ENSMUSG00000019943	Atp2b1	2810442I22Rik|E130111D10Rik|Pmca1	ATPase, Ca++ transporting, plasma membrane 1	protein-coding
