Transcript/RepeatID (cmd=analyzeRepeats.pl rna mm10 -strand both -count exons -d ../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 ../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 -noadj -condenseGenes)	chr	start	end	strand	Length	Copies	Annotation/Divergence	../tag-dirs/AND-CD4TCell-RNA-0-1uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-100uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-K99A-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-10uM-PCC-24h-KAA-15-01-22 reads	../tag-dirs/AND-CD4TCell-RNA-No-Peptide-24h-KAA-15-01-22 reads
NM_026868	chr8	9977717	9992154	+	5175.0	1	Abhd13|1110065L07Rik|AI463703|AI788994|-|8|8 A2|protein-coding	1811.000	1850.000	1472.000	1857.000	1012.000
NM_029499	chr19	11407661	11427246	+	1714.0	1	Ms4a4c|5830413L19Rik|AI449185|Ms4a9|-|19 A|19|protein-coding	336.000	620.000	609.000	406.000	547.000
NR_045345	chr10	116723067	116729177	-	591.0	1	1700030O20Rik|-|RP24-284M17.1|10|10|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001085505	chr4	148643317	148671572	+	1372.0	1	Gm572|b2b1167Clo|RP23-331P21.6|4 E2|4|protein-coding	0.000	0.000	0.000	0.000	6.000
NM_145457	chr13	119428902	119460323	+	4663.0	1	Paip1|PAIP-1|-|13 D2.3|13|protein-coding	2039.000	2099.000	2058.000	2208.000	1065.000
NM_199465	chr3	152236984	152266320	-	2549.0	1	Nexn|1110046H09Rik|AA553326|NELIN|-|3 H3|3|protein-coding	5.000	3.000	11.000	10.000	0.000
NR_040509	chr2	171956879	171962799	-	850.0	1	1700028P15Rik|-|-|2|2|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_134136	chr18	62504059	62548743	-	4374.0	1	Fbxo38|6030410I24Rik|AU044865|AW214031|Moka|SP329|-|18 E1|18|protein-coding	3093.000	3144.000	2967.000	3417.000	1908.000
NM_201232	chr15	8289824	8444463	-	10714.0	1	Nipbl|Idn3|-|15|15 A2|protein-coding	7009.000	7769.000	9185.000	8582.000	5853.000
NR_045444	chr17	43588340	43591509	-	2501.0	1	1700071M16Rik|-|RP23-96A14.2|17|17|ncRNA	105.000	191.000	142.000	75.000	601.000
NM_172499	chr1	40772040	40790657	-	3144.0	1	Mfsd9|4931419K03Rik|-|1 B|1|protein-coding	23.000	26.000	59.000	38.000	39.000
NM_001081337	chr8	125418063	125492710	-	6342.0	1	Sipa1l2|BC058408|mKIAA1389|-|8 E2|8|protein-coding	264.000	336.000	458.000	211.000	524.000
NM_001195565	chr4	151790572	151861768	-	2258.0	1	Camta1|1810059M14Rik|2310058O09Rik|AI316882|AW987475|mKIAA0833|RP23-455G15.4|4 E2|4|protein-coding	79.000	96.000	151.000	123.000	111.000
NM_146642	chr2	87746161	87747180	+	1017.0	1	Olfr1140|MOR177-6|RP23-16E8.3|2 E1|2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_145987	chr4	141614233	141618633	-	2058.0	1	Tmem82|-|RP23-291H3.2|4 E1|4|protein-coding	3.000	0.000	12.000	12.000	7.000
NM_025692	chr9	104046588	104063121	-	2388.0	1	Uba5|5730525G14Rik|AW240750|Ube1dc1|-|9 F1|9|protein-coding	1168.000	1128.000	1165.000	1360.000	622.000
NM_130904	chr8	3871824	3878499	-	854.0	1	Cd209d|SIGN-R3|SIGNR3|mSIGNR3|-|8 A1.1|8|protein-coding	0.000	0.000	0.000	0.000	67.000
NM_172454	chr9	37659902	37669222	-	2512.0	1	Panx3|3230401P04|4833413G11Rik|-|9 A4|9|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_027419	chr11	69897358	69900986	-	1663.0	1	2810408A11Rik|1700019L01Rik|4930470J18Rik|RP23-172M21.16|11|11|protein-coding	5.000	29.000	37.000	11.000	32.000
NM_020002	chr14	55618166	55625395	+	2033.0	1	Rec8|Rec8L1|mrec|-|14 C3|14 28.19 cM|protein-coding	15.000	10.000	38.000	28.000	28.000
NM_001277290	chr11	78357577	78386608	-	3250.0	1	Foxn1|D11Bhm185e|Fkh19|HFH-11|Hfh11|Whn|nu|nude|RP23-151A11.1|11 B5|11 46.74 cM|protein-coding	0.000	0.000	8.000	0.000	0.000
NM_001033300	chr3	63976143	64019078	+	4549.0	1	Gmps|AA591640|AI047208|-|3 E1|3|protein-coding	2425.000	2261.000	1647.000	3019.000	631.000
NM_134093	chr15	100469034	100479252	+	2568.0	1	Letmd1|1110019O13Rik|AI593524|BB130465|BB235638|HCCR-2|HCCR1|MCC-32|Mccr|-|15 F1|15|protein-coding	1416.000	1175.000	1175.000	1542.000	705.000
NM_007638	chr6	85451505	85468477	+	2438.0	1	Cct7|AA408524|AL022769|Ccth|Cctz|-|6|6 D1|protein-coding	15739.000	15322.000	10324.000	17210.000	2905.000
NM_199036	chr9	109552602	109568262	-	1483.0	1	Fbxw15|Fbxo12J|-|9 F2|9|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_031174	chr16	96592079	97170735	-	7446.0	1	Dscam|4932410A21Rik|-|16 C|16 57.02 cM|protein-coding	75.000	109.000	51.000	77.000	104.000
NM_027782	chr14	8214148	8223569	+	1643.0	1	Kctd6|5430433B02Rik|AU044285|-|14 A1|14|protein-coding	223.000	200.000	299.000	205.000	228.000
NM_207527	chr11	58446143	58452966	-	592.0	1	4930504O13Rik|Gm524|RP23-465K20.7|11 B1.3|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_033616	chr1_GL456221_random	111572	163011	-	2715.0	1	Csprs|D1Lub1|HSR|-|8 B1.3|1|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001111142	chr17	46254165	46257316	+	1376.0	1	Lrrc73|Gm88|-|17 C|17|protein-coding	28.000	27.000	43.000	41.000	33.000
NM_027644	chr17	23836785	23844156	-	1103.0	1	Prss41|4931440B09Rik|Tessp-1|Tessp1|-|17 A3.3|17 12.09 cM|protein-coding	5.000	0.000	1.000	3.000	0.000
NM_152810	chr17	45391888	45433707	-	2975.0	1	Cdc5l|1200002I02Rik|AA408004|PCDC5RP|-|17 B3|17|protein-coding	1791.000	1979.000	1849.000	2208.000	835.000
NR_110447	chr2	74752684	74753742	+	891.0	1	LOC102634401|-|RP23-190O13.4|2 C3|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_031405	chr5	137295704	137307674	-	3002.0	1	Srrt|2810019G02Rik|ASR2A|ASR2B|ASR2C|ASR2D|Ars2|Asr2|-|5 G2|5|protein-coding	4384.000	4138.000	3795.000	6288.000	3138.000
NM_001174099	chr11	100102013	100105626	-	1656.0	1	Krt36|HRa-1|K36|Krt1-22|Krt1-5|MHRa-1|RP23-15O20.3|11 D|11|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_026313	chr11	94291139	94321911	-	3283.0	1	Luc7l3|3300001P08Rik|Luc7a|RP23-244C22.4|11|11 C|protein-coding	4178.000	3829.000	3873.000	4748.000	3184.000
NM_011224	chr19	6384429	6398459	+	2822.0	1	Pygm|AI115133|PG|-|19 A|19 4.53 cM|protein-coding	155.000	148.000	174.000	156.000	116.000
NM_008655	chr10	80930091	80932204	+	1260.0	1	Gadd45b|AI323528|Myd118|-|10 C1|10 39.72 cM|protein-coding	18116.000	25805.000	20623.000	19458.000	3509.000
NM_010905	chr4	97777626	98118876	+	9500.0	1	Nfia|1110047K16Rik|9430022M17Rik|CTF|NF1-A|NF1A|RP23-67D6.1|4 C4-C6|4 45.52 cM|protein-coding	9.000	9.000	33.000	15.000	47.000
NM_011900	chr11	69656704	69662642	-	1305.0	1	Mpdu1|LEC35|SL15|Supl15h|RP23-422L16.8|11 B3|11 42.86 cM|protein-coding	1024.000	1137.000	1074.000	1274.000	561.000
NM_001128090	chr6	139493182	139501909	-	675.0	1	Rergl|EG632971|-|6 G2|6|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_009879	chr5	122550204	122614518	-	2929.0	1	Ift81|AW060663|Cdv-1|Cdv-1r|Cdv1|-|5 F|5 62.44 cM|protein-coding	61.000	55.000	72.000	81.000	15.000
NM_007453	chr1	161240112	161251166	-	2327.0	1	Prdx6|1-cysPrx|9430088D19Rik|AA690119|Aop2|Aop2-rs3|Brp-12|CC26|CP-3|GPx|Ltw-4|Ltw4|Lvtw-4|NSGP|NSGPx|ORF06|Prdx5|Prdx6-rs3|aiPLA2|mKIAA0106|-|1 H2.1|1 69.75 cM|protein-coding	2936.000	2648.000	2429.000	3019.000	3136.000
NM_001081401	chr5	89673841	89883334	-	7555.0	1	Adamts3|1100001H14Rik|6330442E02Rik|-|5 E1|5|protein-coding	5.000	7.000	6.000	16.000	6.000
NM_177024	chr5	86659522	86676298	-	2204.0	1	Tmprss11b|9930019B18Rik|Tmprss11bnl|-|5 E1|5|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_130880	chr7	63444772	63759027	+	3445.0	1	Otud7a|AJ430384|Otud7|-|7 C|7|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_029756	chr1	176814660	177020432	+	2751.0	1	Sdccag8|2700048G21Rik|5730470G24Rik|Cccap|-|1|1 H3|protein-coding	219.000	291.000	374.000	230.000	277.000
NM_001033233	chr5	86410410	86468990	-	2646.0	1	Tmprss11a|Gm7|-|5 E1|5|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001102457	chrX	37469868	37473961	+	824.0	1	Rhox3c|EG665203|Rhox3.3|Rhox3b|RP23-167L6.2|X A3.3|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_010740	chr2	148436651	148443535	-	6634.0	1	Cd93|6030404G09Rik|AA145088|AA4.1|AW555904|C1qr1|C1qrp|Ly68|RP23-70N3.4|2 G3|2 73.48 cM|protein-coding	273.000	675.000	725.000	150.000	2249.000
NM_028019	chr11	80183872	80199753	+	1952.0	1	Rnf135|0610037N03Rik|2410006N06Rik|RP23-345E8.1|11 B5|11 47.59 cM|protein-coding	56.000	73.000	102.000	85.000	115.000
NR_033490	chr3	17789921	17800071	+	1360.0	1	2610100L16Rik|100040120|Gm2612|RP23-137I13.1|3 A1|3|ncRNA	1.000	0.000	0.000	0.000	0.000
NM_001291058	chr11	69664213	69666170	-	1239.0	1	Cd68|Lamp4|Scard1|gp110|-|11 B3|11 42.86 cM|protein-coding	200.000	352.000	293.000	184.000	874.000
NM_175652	chr6	136803993	136804431	-	436.0	1	Hist4h4|B130044J01Rik|mCG_49272|6 G1|6|protein-coding	0.000	0.000	0.000	1.000	0.000
NM_010058	chr7	19076200	19082775	+	2513.0	1	Dmwd|DMR-N9|Dm9|-|7 A3|7 9.46 cM|protein-coding	268.000	103.000	63.000	327.000	52.000
NM_023727	chr1	191977373	191988282	+	3715.0	1	Rd3|3322402L07Rik|rd-3|rd3|-|1 H6|1 97.09 cM|protein-coding	0.000	0.000	0.000	5.000	2.000
NM_146759	chr6	116556427	116557389	+	961.0	1	Olfr214|MOR119-1|-|6 F1|6|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_001034871	chr17	28549487	28552618	+	439.0	1	Clpsl2|Gm749|RP23-480B9.1|17 A3.3|17|protein-coding	1.000	0.000	0.000	0.000	0.000
NM_028829	chr1	20890622	20938756	+	4415.0	1	Paqr8|1700019B16Rik|3110001D06Rik|-|1|1 A5|protein-coding	135.000	163.000	256.000	225.000	94.000
NM_001270426	chr3	92957390	92958574	+	556.0	1	Lce3d|ENSMUSG00000043472|Gm9782|-|3 F1|3|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_134092	chr15	55557408	55626423	+	3120.0	1	Mtbp|AI429604|MDM2BP|-|15 D1|15|protein-coding	796.000	753.000	543.000	1053.000	184.000
NM_010953	chr15	65876053	65912287	-	1782.0	1	Oc90|Ocn-95|PLA2L|Pla2ll|oc95|-|15 D1|15 29.16 cM|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_177429	chrX	166390033	166440704	-	4428.0	1	Ofd1|Cxorf5|DXGgc7e|ORF2|RP23-408K4.1|X F5|X 77.28 cM|protein-coding	481.000	653.000	618.000	726.000	314.000
NR_045855	chr7	82937938	82971391	-	1436.0	1	4933430H16Rik|-|-|7|7|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001013799	chr1	44009408	44020006	-	1079.0	1	Mettl21c|A530098C11Rik|-|1 C1.1|1|protein-coding	0.000	3.000	2.000	0.000	0.000
NM_027634	chr7	104127913	104129823	-	1908.0	1	4931431F19Rik|-|-|7 E3|7|protein-coding	0.000	0.000	0.000	1.000	0.000
NM_177822	chr17	25736040	25748330	+	2610.0	1	Mslnl|4732467B22|-|17 A3.3|17|protein-coding	5.000	2.000	0.000	0.000	0.000
NM_001099277	chr7	16071942	16096328	+	4543.0	1	Zfp541|EG666528|Znf541|-|7 A2|7|protein-coding	0.000	1.000	0.000	0.000	0.000
NM_178199	chr13	21715713	21716143	-	429.0	1	Hist1h2bl|H2b-291a|-|13 A2-A3|13|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_026626	chr1	178405881	178483249	+	2529.0	1	Efcab2|1700073K01Rik|D830011E08Rik|-|1|1 H3|protein-coding	147.000	191.000	140.000	179.000	96.000
NM_139224	chr8	21938352	21940878	+	263.0	1	Defb35|BD-35|AL590619.6|8 A2|8|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_010749	chr6	122309010	122317677	+	2213.0	1	M6pr|CD-MPR|Mpr46|-|6 F1|6 57.52 cM|protein-coding	6540.000	5295.000	3589.000	8013.000	2591.000
NM_013913	chr4	99030955	99038188	+	1595.0	1	Angptl3|hypl|RP23-101O16.2|4 C6|4 45.6 cM|protein-coding	0.000	0.000	0.000	1.000	1.000
NM_001001186	chr13	67363584	67375763	-	4073.0	1	Zfp456|BC065418|Rslcan-13|-|13 B3|13 34.54 cM|protein-coding	309.000	496.000	372.000	370.000	122.000
NM_133973	chr8	110847024	110882234	+	2733.0	1	Cog4|AW554810|D8Ertd515e|-|8 E1|8 57.76 cM|protein-coding	721.000	717.000	888.000	780.000	738.000
NM_020626	chrX	164090187	164118859	+	1254.0	1	Tmem27|0610008J07Rik|NX-17|NX17|RP23-59N7.2|X F5|X|protein-coding	0.000	1.000	0.000	0.000	0.000
NR_040558	chr1	172541620	172550806	-	938.0	1	4933439K11Rik|-|-|1|1|ncRNA	4.000	0.000	0.000	0.000	17.000
NM_029738	chr16	3909009	3941147	+	1581.0	1	Cluap1|2310030D15Rik|2610111M03Rik|-|16 A1|16|protein-coding	392.000	389.000	378.000	475.000	196.000
NM_008959	chr13	66932830	66998401	+	3409.0	1	Ptdss1|AU044268|AW539008|PSS-1|mKIAA0024|-|13 B-C1|13 34.54 cM|protein-coding	1705.000	1795.000	1528.000	1876.000	977.000
NM_008336	chr4	88690599	88691268	-	667.0	1	Ifnab|-|RP23-139P14.5|4 C4|4|protein-coding	0.000	0.000	0.000	0.000	9.000
NM_001004363	chr10	84371319	84440471	-	5009.0	1	Nuak1|AU014801|AW494241|B230104P22Rik|Omphk1|-|10 C1|10|protein-coding	23.000	39.000	26.000	38.000	7.000
NM_001033359	chr9	9660891	10904726	-	3583.0	1	Cntn5|6720426O10Rik|A830025P08Rik|Gm507|NB-2|-|9 A1|9|protein-coding	0.000	1.000	0.000	0.000	0.000
NM_001013390	chr9	45139042	45154061	+	4237.0	1	Scn4b|Gm1471|-|9 A5.2|9|protein-coding	1.000	14.000	2.000	11.000	6.000
NM_001205341	chr10	106470310	106933468	+	6403.0	1	Ppfia2|5330438O12|B230207K17Rik|E130120L08Rik|mKIAA4112|-|10 D1|10|protein-coding	0.000	0.000	0.000	0.000	1.000
NM_029458	chr11	4346383	4441082	-	1330.0	1	Hormad2|4930529M09Rik|RP23-329P17.4|11 A1|11|protein-coding	15.000	15.000	7.000	17.000	16.000
NM_025554	chr10	80035953	80039659	-	999.0	1	Polr2e|2410021N14Rik|25kDa|AW208866|RPB5|XAP4|-|10 C1|10|protein-coding	2994.000	2663.000	2461.000	3235.000	1134.000
NM_022310	chr2	34772090	34776529	+	2606.0	1	Hspa5|AL022860|AU019543|Bip|D2Wsu141e|D2Wsu17e|Grp78|Hsce70|SEZ-7|Sez7|baffled|mBiP|RP23-446N16.1|2 B|2 22.94 cM|protein-coding	29783.000	27686.000	17969.000	32540.000	7146.000
NM_146090	chr18	84088158	84097514	+	3317.0	1	Zadh2|C530046K17Rik|Pthr3|-|18 E4|18|protein-coding	587.000	668.000	764.000	724.000	1000.000
NM_015785	chr11	11280040	11462419	-	3835.0	1	Zpbp|4930486K01Rik|Iam38|Sp38|RP23-446K7.1|11|11 A2|protein-coding	108.000	64.000	55.000	47.000	46.000
NM_001136556	chr2	156019140	156052947	-	6059.0	1	Fer1l4|9130402C12Rik|RP23-220D12.10-008|2|2 H2|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_026210	chr11	62879490	62895184	+	1739.0	1	Tvp23b|1810036I24Rik|Fam18b|Fam18b1|RP23-428I5.3|11 B2|11|protein-coding	1176.000	1038.000	805.000	1238.000	341.000
NM_138666	chr3	25431841	26331909	-	5620.0	1	Nlgn1|6330415N05Rik|BB179718|NL1|Nlg1|mKIAA1070|-|3 A3|3|protein-coding	0.000	5.000	1.000	0.000	0.000
NM_001271358	chr11	70432580	70440828	+	1971.0	1	Arrb2|AI326910|AW122872|DN-491F10.4|11 B3|11 42.99 cM|protein-coding	1795.000	2709.000	3464.000	2300.000	5652.000
NM_007902	chr4	120161424	120167360	+	1237.0	1	Edn2|VIC|RP23-98J9.2|4 D2.2|4|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_019965	chr10	59879591	59898016	+	1763.0	1	Dnajb12|Dj10|mDj10|-|10|10 B3|protein-coding	858.000	838.000	965.000	948.000	578.000
NM_001005767	chr16	20279821	20302362	-	1310.0	1	Parl|D16Ertd607e|PRO2207|PSARL1|PSENIP2|Psarl|-|16 A3|16 12.4 cM|protein-coding	1377.000	1269.000	1036.000	1523.000	683.000
NM_026454	chr1	91250319	91286025	+	1351.0	1	Ube2f|2510010F15Rik|AI851109|-|1 D|1|protein-coding	780.000	759.000	698.000	992.000	455.000
NM_001243155	chr4	88773834	88774801	+	965.0	3	Gm13290|OTTMUSG00000011291|-|4 C4|4|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_027599	chr5	107431549	107435039	+	2778.0	1	Lpcat2b|4921521K07Rik|Aytl1b|-|5 E5|5|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_025928	chr3	88394143	88410316	-	985.0	1	Pmf1|2600009M07Rik|AL033286|AW060657|-|3 F1|3|protein-coding	444.000	612.000	545.000	576.000	357.000
NR_106175	chr12	93927338	93927464	+	126.0	2	Mir8099-1|mmu-mir-8099-1|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_153601	chr1	31176435	31204725	+	1896.0	1	Lgsn|Gluld1|Lgs|lengsin|-|1 B|1|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001122662	chr12	87874072	87877859	+	1762.0	1	Gm2016|-|-|12 D2|12|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_139307	chr16	4639945	4651166	+	3185.0	1	Vasn|2610528G05Rik|Atia|Slitl2|-|16 A1|16|protein-coding	84.000	89.000	150.000	149.000	255.000
NM_008292	chr18	50128201	50196270	+	2659.0	1	Hsd17b4|17-beta-HSD|17[b]-HSD|4|DBP|MFE-2|MFP2|MPF-2|Mfp-2|perMFE-2|-|18 D1|18|protein-coding	1074.000	1178.000	1200.000	1489.000	1302.000
NM_025314	chr2	144599953	144768747	+	1275.0	1	Dtd1|0610006H08Rik|DUE-B|Hars2|RP23-367O15.2|2|2 H1|protein-coding	399.000	399.000	313.000	565.000	249.000
NM_011242	chr19	6400583	6415216	+	2174.0	1	Rasgrp2|CDC25L|Caldaggef1|-|19 A|19|protein-coding	416.000	678.000	2039.000	291.000	3056.000
NM_001114754	chrX	26912744	26935669	-	881.0	1	Gm6121|-|RP23-3D2.1|X A2|X|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_040771	chr6	25931426	25977227	+	1556.0	1	Gm20756|-|-|6 A3.1|6|ncRNA	0.000	4.000	6.000	0.000	0.000
NM_053241	chr16	26463135	26482764	+	1165.0	1	Cldn16|PCLN1|claudin-16|-|16|16 B2|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_001166172	chr3	92620085	92621660	-	786.0	1	Lce6a|2210420J11Rik|-|3|3|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_145377	chr11	48806404	48817391	-	3462.0	1	Trim41|AW552703|BC020156|R75223|RINCK|RP23-14F5.3|11 B1.2|11|protein-coding	1223.000	1032.000	1204.000	1248.000	990.000
NR_105840	chr10	20297581	20297688	-	107.0	1	Mir6413|mmu-mir-6413|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_175166	chr7	131174402	131250945	+	2903.0	1	5430419D17Rik|-|-|7 F3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_172290	chr9	28995964	29963129	-	1798.0	1	Ntm|6230410L23Rik|B230210G24Rik|Hnt|Igdcc2|R75390|-|9 A4|9|protein-coding	1.000	0.000	0.000	0.000	0.000
NM_001081275	chr1	171121661	171126967	+	1026.0	1	1700009P17Rik|AV282292|Flattop|Fltp|-|1 H3|1|protein-coding	1.000	1.000	7.000	2.000	16.000
NM_029781	chr10	75037089	75054100	+	2607.0	1	Rab36|6330593L16Rik|AW047545|-|10|10 B5.3|protein-coding	0.000	0.000	2.000	0.000	0.000
NM_010277	chr11	102887336	102897200	-	2706.0	1	Gfap|AI836096|-|11 D|11 66.48 cM|protein-coding	0.000	0.000	0.000	4.000	0.000
NM_028491	chr10	68430956	68541875	-	1228.0	1	1700040L02Rik|-|-|10|10 B5.1|protein-coding	5.000	6.000	3.000	3.000	0.000
NM_016890	chr4	41714798	41723163	-	957.0	1	Dctn3|p24|-|4|4 B1|protein-coding	1054.000	1008.000	934.000	1157.000	676.000
NM_001173550	chr7	16246745	16259338	-	2536.0	1	C5ar1|C5aR|C5r1|Cd88|D7Msu1|-|7 A2|7 8.77 cM|protein-coding	217.000	466.000	603.000	153.000	1518.000
NM_020570	chr5	25689816	25705797	-	3210.0	1	Xrcc2|4921524O04Rik|8030409M04Rik|RAD51|RecA|-|5 A3|5|protein-coding	230.000	220.000	176.000	282.000	81.000
NM_009203	chr19	6535856	6543070	-	2241.0	1	Slc22a12|AI987855|OAT4L|Rst|Slc22al2|URAT1|-|19 A|19|protein-coding	1.000	0.000	0.000	0.000	0.000
NM_175470	chr3	108148321	108154882	-	3682.0	1	Gpr61|-|RP23-89M15.5|3 F2.3|3|protein-coding	0.000	0.000	4.000	5.000	7.000
NM_026523	chr7	80902227	80905062	-	687.0	1	Nmb|3110023K12Rik|-|7 D3|7|protein-coding	29.000	35.000	73.000	24.000	82.000
NM_029726	chr10	33083483	33476709	+	4474.0	1	Trdn|2310045H21Rik|EG432451|TDN|-|10 A4|10|protein-coding	0.000	0.000	0.000	0.000	0.000
NM_007405	chr15	98589986	98607633	-	6001.0	1	Adcy6|AC6|mKIAA0422|-|15|15 F|protein-coding	2849.000	6424.000	7325.000	3822.000	2898.000
NR_033224	chr19	5388336	5390069	+	1733.0	1	D330050I16Rik|-|-|-|ncRNA	703.000	858.000	807.000	827.000	330.000
NM_013850	chr10	79997615	80015572	+	6546.0	1	Abca7|ABCX|Abc51|-|10 B4-C1|10 39.72 cM|protein-coding	1851.000	2332.000	3449.000	2106.000	3764.000
NM_152803	chr5	100679486	100719683	-	3068.0	1	Hpse|HSE1|Hpa|Hpr1|-|5 E4|5|protein-coding	98.000	195.000	171.000	125.000	378.000
NM_001272031	chr16	18392563	18407074	+	4287.0	1	Arvcf|-|-|16 A3|16 11.37 cM|protein-coding	34.000	74.000	57.000	52.000	58.000
NM_033585	chr18	37669105	37841870	+	4531.0	1	Pcdhga2|mKIAA0588|-|18 B3|18|protein-coding	568.000	704.000	649.000	615.000	244.000
NM_001033226	chr4	109235632	109254577	+	1922.0	1	Calr4|4933403L16Rik|AU017583|RP23-414M10.1|4 C7|4|protein-coding	0.000	0.000	1.000	2.000	0.000
NM_001163996	chr5	110110092	110129794	+	3151.0	1	Zfp605|A830023I12Rik|-|5 F|5|protein-coding	209.000	230.000	230.000	285.000	136.000
NR_105812	chr7	57581061	57581162	+	101.0	1	Mir6389|mmu-mir-6389|-|-|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_010226	chr2	152931898	152933208	-	1308.0	1	Foxs1|FREAC10|Fkh3|Fkhl18|RP23-414F8.3|2|2 H2|protein-coding	0.000	1.000	2.000	11.000	0.000
NM_134151	chr4	129189795	129219607	+	2859.0	1	Yars|AL024047|AU018965|-|4 D2.2|4|protein-coding	6082.000	6275.000	4522.000	6499.000	1354.000
NM_001080964	chr11	96953338	96977688	-	3023.0	1	Sp2|4930480I16Rik|mKIAA0048|RP23-353J21.12-003|11 D|11|protein-coding	1480.000	1728.000	1703.000	1546.000	1173.000
NM_011211	chr4	75941237	78211895	-	9085.0	1	Ptprd|1110002J03Rik|3000002J10Rik|B230219D21Rik|R-PTP-delta|RP23-461M2.1|4 C3|4 36.94 cM|protein-coding	0.000	0.000	3.000	0.000	0.000
NM_010413	chrX	7930122	7947889	-	4111.0	1	Hdac6|Hd6|Hdac5|Sfc6|mHDA2|RP23-198C2.1|X A1.1|X 3.58 cM|protein-coding	284.000	363.000	407.000	391.000	362.000
NM_007429	chrX	21484624	21488833	+	2867.0	1	Agtr2|AI316812|AW107640|RP23-368N20.1|X A2|X 16.71 cM|protein-coding	0.000	0.000	1.000	0.000	0.000
NM_178078	chr8	95719451	95807462	-	8324.0	1	Cnot1|6030411K04Rik|AA815922|D830048B13|-|8 D1|8|protein-coding	8154.000	8387.000	8161.000	9235.000	4969.000
NR_049194	chr11	115795824	115795886	+	62.0	1	Mir5621|mmu-mir-5621|-|11|11|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_146735	chr7	108103311	108104258	+	946.0	1	Olfr483|MOR204-12|-|7 E3|7|protein-coding	0.000	0.000	0.000	0.000	0.000
NR_028548	chr9	64175432	64175522	+	90.0	1	Snord16a|MBII-98|-|9|9|snoRNA	14.000	23.000	5.000	25.000	0.000
NM_029979	chr14	66297025	66311424	+	3676.0	1	Trim35|0710005M05Rik|A430106H13Rik|AW046487|HLS5|Mair|NC8|mKIAA1098|-|14 D1|14|protein-coding	2336.000	2952.000	2318.000	2884.000	1618.000
NR_106004	chr5	139767879	139767943	-	64.0	1	Mir7037|mmu-mir-7037|-|-|ncRNA	12.000	1.000	0.000	8.000	0.000
NR_035528	chrX	72589988	72590094	-	106.0	1	Mir767|mmu-mir-767|-|X|X 37.27 cM|ncRNA	0.000	0.000	0.000	0.000	0.000
NM_001082414	chr3	86084434	86130521	+	6396.0	1	Sh3d19|AW011754|Kryn|-|3 F1|3|protein-coding	30.000	59.000	37.000	11.000	53.000
NM_011410	chr11	83175186	83190216	+	3948.0	1	Slfn4|AI450778|RP23-308N3.2|11 C|11|protein-coding	295.000	677.000	923.000	291.000	1911.000
NM_026255	chr6	94500314	94604652	+	1907.0	1	Slc25a26|4930433D19Rik|4933433F13Rik|AW557176|D6Bwg0781e|Slc25a6|-|6|6 D3|protein-coding	304.000	300.000	240.000	374.000	36.000
